NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Gwadeli festival,Régionale,Guadeloupe,Guadeloupe,Baie-Mahault,97122,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"16.251171116, -61.5929355877"
Fête de la Michaudine,,Grand Est,Meuse,Bar-le-Duc,55000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"48.7642280465, 5.16346492169"
Rencontres Sur Les Docks,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Bayonne,64100,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"43.4922254016, -1.46607674358"
Sonates d'Automne en lochois,,Centre-Val de Loire,Indre-et-Loire,Beaulieu-lès-Loches,37600,Musique,Après-saison (6 septembre - 31 décembre),"47.1281892877, 1.02294110179"
Festival BAR / Blues d'automne en Rabelaisie,,Centre-Val de Loire,Indre-et-Loire,Beaumont-en-Véron,37420,Musique,Après-saison (6 septembre - 31 décembre),"47.1939476684, 0.186243013287"
Festival Lumières d'Afrique,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"47.2553872249, 6.01948696494"
Les petits bonheurs,,Hauts-de-France,Pas-de-Calais,Béthune,62400,"Arts visuels, arts numériques",Saison (21 juin - 5 septembre),"50.5288922584, 2.64242379342"
Le Temps d'aimer La Danse,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Biarritz,64200,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"43.4695847227, -1.55309857519"
Bissy sous les étoiles,,Bourgogne-Franche-Comté,Saône-et-Loire,Bissy-sur-Fley,71460,Musique,Saison (21 juin - 5 septembre),"46.6633352989, 4.6213986546"
Festival Luluberlu,Régionale,Occitanie,Haute-Garonne,Blagnac,31700,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.6421867862, 1.37886941086"
Vacances Percutantes,,Nouvelle-Aquitaine,Gironde,Blanquefort,33290,Musique,Saison (21 juin - 5 septembre),"44.9231492741, -0.612268950301"
Apéros musique de Blesle,Régionale,Auvergne-Rhône-Alpes,Haute-Loire,Blesle,43450,Musique,Saison (21 juin - 5 septembre),"45.3179155382, 3.17686146037"
Icronos Festival international du Film d'archéologie de Bordeaux,,Nouvelle-Aquitaine,Gironde,Bordeaux,33000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"44.8572445351, -0.57369678116"
In Cité - Festival de street art écologique,,Bretagne,Côtes-d'Armor,Botmeur,22110,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"48.465978498, -3.19983137965"
Let'sDANCE ®,,Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,92100,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"48.8365843138, 2.23913599058"
Fête du Chant Traditionnel,,Bretagne,Ille-et-Vilaine,Bovel,35330,Musique,Avant-saison (1er janvier - 20 juin),"47.9563331223, -1.95993951204"
Westsound Festival,,Bretagne,Finistère,Brest,29200,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"48.4004997828, -4.5027907853"
Drôle d'endroit Pour des Rencontres,Nationale,Auvergne-Rhône-Alpes,Métropole de Lyon,Bron,69500,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"45.7344856902, 4.91168159471"
Ethereal Decibel Festival,,Normandie,Manche,Buais-les-Monts,50640,Musique,Saison (21 juin - 5 septembre),"48.5185588487, -0.971234303313"
Festival de Bussang,,Grand Est,Vosges,Bussang,88540,Spectacle vivant,Saison (21 juin - 5 septembre),"47.8913024927, 6.87663647751"
Festival du Film de Cabourg,Intercommunale,Normandie,Calvados,Cabourg,14390,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"49.2834863414, -0.125512945279"
Les Boréales,Régionale,Normandie,Calvados,Caen,14000,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"49.1847936737, -0.369801713036"
Allegro amabile moments musicaux,Régionale,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Cannes,6390,Musique,Après-saison (6 septembre - 31 décembre),"43.5526202843, 7.00427592728"
Les éclectiques,Régionale,Hauts-de-France,Pas-de-Calais,Carvin,62220,Spectacle vivant,Saison (21 juin - 5 septembre),"50.4895185959, 2.94858062937"
Cav'arts,,Provence-Alpes-Côte d'Azur,Vaucluse,Cavaillon,84300,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"43.8508361826, 5.03606300916"
Festival du Souffle,,Nouvelle-Aquitaine,Deux-Sèvres,Celles-sur-Belle,79370,Musique,Saison (21 juin - 5 septembre),"46.2405369288, -0.218181064771"
Festi'rêves,Intercommunale,Bourgogne-Franche-Comté,Jura,Censeau,39250,Spectacle vivant,Saison (21 juin - 5 septembre),"46.8165867767, 6.07767180739"
Festival Musicultura,Régionale,Occitanie,Pyrénées-Orientales,Céret,66400,Musique,Saison (21 juin - 5 septembre),"42.4739622057, 2.75268021455"
Piano Campus,,Île-de-France,Val-d'Oise,Cergy-Pontoise,95000,Musique,Avant-saison (1er janvier - 20 juin),"49.0401131567, 2.05082123731"
Rencontres de la photo de Chabeuil,Départementale,Auvergne-Rhône-Alpes,Drôme,Chabeuil,26120,"Arts visuels, arts numériques",Après-saison (6 septembre - 31 décembre),"44.9082255842, 5.00743034189"
Furies,,Grand Est,Marne,Châlons-en-Champagne,51000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"48.9640892125, 4.37883539725"
Illusions,,Grand Est,Marne,Châlons-en-Champagne,51000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"48.9640892125, 4.37883539725"
Festival des cultures du monde de Chambéry,,Auvergne-Rhône-Alpes,Savoie,Chambéry,73000,Spectacle vivant,Saison (21 juin - 5 septembre),"45.583182552, 5.90903392417"
Fill Good Festival,,Centre-Val de Loire,Indre-et-Loire,Chambray-lès-Tours,37170,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"47.3312652065, 0.716803612336"
La Ferme se met en mouvement,,Bourgogne-Franche-Comté,Saône-et-Loire,Châtenoy-le-Royal,71880,"Arts visuels, arts numériques",Après-saison (6 septembre - 31 décembre),"46.788588171, 4.8058563943"
Cantons…Chante!,,Hauts-de-France,Aisne,Chauny,2300,Musique,Saison (21 juin - 5 septembre),"49.619880673, 3.21875355041"
Les Fieffés Musiciens,Intercommunale,Normandie,Manche,Cherbourg-en-Cotentin,50100,Musique,Saison (21 juin - 5 septembre),"49.633412156, -1.63390160204"
Fête du livre et du théâtre de Clermont-Ferrand,Intercommunale,Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,63000,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"45.7856492991, 3.11554542903"
Festival de chansons françaises en cœur d’Hérault,,Occitanie,Hérault,Clermont-L'Hérault,34800,Musique,Après-saison (6 septembre - 31 décembre),"43.6338885209, 3.41317415682"
Contours,,Île-de-France,Hauts-de-Seine,Clichy-la-Garenne,92110,Musique,Avant-saison (1er janvier - 20 juin),"48.9035359139, 2.30575230452"
Coup de chauffe à Cognac,,Nouvelle-Aquitaine,Charente,Cognac,16100,Spectacle vivant,Saison (21 juin - 5 septembre),"45.6962326551, -0.33507941815"
Festenal Mai que mai,Intercommunale,Occitanie,Hérault,Colombières-sur-Orb,34390,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"43.5853145564, 3.01084654208"
Extension Sauvage,,Bretagne,Ille-et-Vilaine,Combourg,35270,Spectacle vivant,Saison (21 juin - 5 septembre),"48.4083560805, -1.74519435019"
Livre & Mer,,Bretagne,Finistère,Concarneau,29900,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"47.8966260003, -3.90716871821"
Le grand bain,,Auvergne-Rhône-Alpes,Haute-Savoie,Cran-Gevrier,74960,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.8906432566, 6.12551773598"
Grésimaginaire,Intercommunale,Auvergne-Rhône-Alpes,Isère,Crolles,38920,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"45.2820293287, 5.88883985593"
Les nuits sonores,Régionale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69002,Musique,Avant-saison (1er janvier - 20 juin),"45.8941529725, 4.69976319866"
Bulles dans le Lac,,Auvergne-Rhône-Alpes,Rhône,Cublize,69550,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"46.0245451147, 4.3873320653"
Très Cool Music Festival,,Normandie,Calvados,Deauville,14800,Musique,Saison (21 juin - 5 septembre),"49.3543800887, 0.0744665786308"
Mines de jazz,,Occitanie,Aveyron,Decazeville,12300,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"44.567273002, 2.25243853064"
Festival MV,Départementale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"47.3229437965, 5.03788805877"
Le Dormantastique,,Grand Est,Marne,Dormans,51700,"Livre, littérature",Saison (21 juin - 5 septembre),"49.062193047, 3.6454130311"
Salon du Roman Populaire,,Bretagne,Morbihan,Elven,56063,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"47.7326809062, -2.59279070215"
Rues et Cies,,Grand Est,Vosges,Epinal,88000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"48.1631202656, 6.47989286928"
Festival le Son miré,,Occitanie,Aude,Fabrezan,11200,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"43.1259965939, 2.70495303156"
Des calanques et des bulles,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13288,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889"
Festival Les Faltaisies,Intercommunale,Normandie,Calvados,Falaise,14700,Spectacle vivant,Saison (21 juin - 5 septembre),"48.8957800281, -0.193401711782"
Festival de Fenetrange,,Grand Est,Moselle,Fenetrange,57930,Musique,Saison (21 juin - 5 septembre),"48.850716262, 7.00987117365"
Soirées Musicales en Val-de-Seugne,,Nouvelle-Aquitaine,Charente-Maritime,Fontaines-d'Ozillac,17500,Musique,Saison (21 juin - 5 septembre),"45.3786053942, -0.382932208818"
Primeurs,,Grand Est,Moselle,Forbach,57060,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"49.1912650369, 6.89275798526"
Lire et Dire pour le Plaisir,Départementale,Martinique,Martinique,Fort-de-France,97200,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"14.6411114389, -61.0691889244"
A l'Est Des Dunes,,Bretagne,Côtes-d'Armor,Fréhel,22240,Pluridisciplinaire,Saison (21 juin - 5 septembre),"48.6348223959, -2.36202603588"
Celt'in Lor,Intercommunale,Grand Est,Meurthe-et-Moselle,Frouard,54500,Musique,Après-saison (6 septembre - 31 décembre),"48.7732074334, 6.11082140462"
Lézart Vert,,Nouvelle-Aquitaine,Creuse,Fursac,23290,Musique,Saison (21 juin - 5 septembre),"46.1269796893, 1.53252260223"
"Festival RRRR (festival automne, solidaire et gratuit)",,Occitanie,Haute-Garonne,Grazac,31190,Spectacle vivant,Saison (21 juin - 5 septembre),"43.3114150359, 1.44878574515"
Tralalère! Le bain d'art et de culture des tout petits,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Gréasque,13850,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.4262029745, 5.54685109195"
Equinox festival,,Auvergne-Rhône-Alpes,Isère,Grenoble,38000,Musique,Avant-saison (1er janvier - 20 juin),"45.1821215167, 5.72133051752"
Festival international de théâtre action,Internationale,Auvergne-Rhône-Alpes,Isère,Grenoble,38000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"45.1821215167, 5.72133051752"
Festiv'arts,Départementale,Auvergne-Rhône-Alpes,Isère,Grenoble,38000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.1821215167, 5.72133051752"
Les Sortilèges de La Pleine Lune,,Nouvelle-Aquitaine,Creuse,Guéret,23000,Spectacle vivant,Saison (21 juin - 5 septembre),"46.1632121428, 1.87078672735"
Autour d'Elle,,Bretagne,Côtes-d'Armor,Guingamp,22200,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"48.5612759498, -3.15330223539"
Salon du livre d'Hermillon,Intercommunale,Auvergne-Rhône-Alpes,Savoie,Hermillon,73300,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"45.3048823312, 6.38960278843"
Rencontres d'été théâtre & lecture en Normandie,Régionale,Normandie,Calvados,Houlgate,14510,"Livre, littérature",Saison (21 juin - 5 septembre),"49.2974071263, -0.0677562139709"
Festival international d'architecture d'interieur - design parade Toulon,,Provence-Alpes-Côte d'Azur,Var,Hyères,83400,Pluridisciplinaire,Saison (21 juin - 5 septembre),"43.1018713534, 6.18898508469"
Rencontres littéraires de port-cros,,Provence-Alpes-Côte d'Azur,Var,Hyères,83400,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.1018713534, 6.18898508469"
La JIMI - La Journée des Initiatives Musicales Indépendantes,,Île-de-France,Val-de-Marne,Ivry-sur-Seine,94200,Musique,Après-saison (6 septembre - 31 décembre),"48.8128063812, 2.38778023612"
GrEn Festival,,Hauts-de-France,Pas-de-Calais,Izel-lès-Hameau,62690,Musique,Après-saison (6 septembre - 31 décembre),"50.3147014081, 2.53156899896"
Fête du livre de Jully,,Bourgogne-Franche-Comté,Yonne,Jully,89160,"Livre, littérature",Saison (21 juin - 5 septembre),"47.7745117396, 4.29841355038"
Ré Majeure,,Nouvelle-Aquitaine,Charente-Maritime,La Couarde-sur-Mer,17670,Musique,Après-saison (6 septembre - 31 décembre),"46.2010718838, -1.4366169353"
Festival du théâtre en garde,,Provence-Alpes-Côte d'Azur,Var,La Garde,83130,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.1263279384, 6.01898164719"
Vivacité,,Nouvelle-Aquitaine,Gironde,La Réole,33190,Spectacle vivant,Saison (21 juin - 5 septembre),"44.5860904495, -0.042370404021"
Festival Tradigordines,,Nouvelle-Aquitaine,Dordogne,Lalinde,24150,Musique,Saison (21 juin - 5 septembre),"44.8557735546, 0.74158538401"
Au fil du jazz,Intercommunale,Centre-Val de Loire,Indre-et-Loire,Langeais,37130,Musique,Avant-saison (1er janvier - 20 juin),"47.3498571755, 0.367495526989"
Rencontres philosophiques de Langres,,Grand Est,Haute-Marne,Langres,52200,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"47.8591544821, 5.33880466821"
JazzOgnons,,Pays de la Loire,Mayenne,Laval,53000,Musique,Saison (21 juin - 5 septembre),"48.0608565468, -0.766005687142"
Juste pour deux mains,Intercommunale,Auvergne-Rhône-Alpes,Puy-de-Dôme,Le cendre,63670,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"45.7178589681, 3.19396372923"
Tempo Piano Classique,,Pays de la Loire,Loire-Atlantique,Le Croisic,44490,Musique,Avant-saison (1er janvier - 20 juin),"47.2922743449, -2.52277844422"
BRUIT,,Île-de-France,Paris,Paris,75012,Musique,Après-saison (6 septembre - 31 décembre),"48.8567, 2.3508"
Festival Moz'aïque,,Normandie,Seine-Maritime,Le Havre,76600,Musique,Saison (21 juin - 5 septembre),"49.498452502, 0.140153719153"
"Horizons, arts Nature en Sancy",Intercommunale,Auvergne-Rhône-Alpes,Puy-de-Dôme,Le Mont-Dore,63240,"Arts visuels, arts numériques",Saison (21 juin - 5 septembre),"45.5760999131, 2.80995918175"
Acoustic Festival,,Pays de la Loire,Vendée,Le Poiré-sur-Vie,85170,Musique,Avant-saison (1er janvier - 20 juin),"46.769919754, -1.50488626452"
Tout en haut du jazz,Départementale,Hauts-de-France,Pas-de-Calais,Lens,62300,Musique,Après-saison (6 septembre - 31 décembre),"50.4374264148, 2.82105851259"
Festi'Val Bri'Art,,Île-de-France,Seine-et-Marne,Les Chapelles-Bourbon,77610,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"48.7435938293, 2.83654734794"
Abracadabulles,Transfrontalière,Pays de la Loire,Vendée,Les Sables-d'Olonne,85340,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"46.5007612799, -1.79255128677"
Dessin contemporain & populaire,départementale,Auvergne-Rhône-Alpes,Ardèche,Les Vans,7140,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"44.392206287, 4.11524168722"
Central43,Départementale,Hauts-de-France,Nord,Lille,59000,Musique,Après-saison (6 septembre - 31 décembre),"50.6317183168, 3.04783272312"
Fête du cinéma d'animation,Interrégionale,Hauts-de-France,Nord,Lille,59800,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"50.6317183168, 3.04783272312"
Danse Émoi,,Nouvelle-Aquitaine,Haute-Vienne,Limoges,87000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.8542549589, 1.2487579024"
Festival Coquelicontes,,Nouvelle-Aquitaine,Haute-Vienne,Limoges,87000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.8542549589, 1.2487579024"
Escoat é minja,,Occitanie,Gers,L'Isle-Jourdain,32600,Musique,saison (21 juin - 5 septembre),"43.6144926041, 1.08127836593"
Opéra Voyageur,Départementale,Bourgogne-Franche-Comté,Nièvre,Lormes,58140,Musique,Saison (21 juin - 5 septembre),"47.2894645643, 3.82491613793"
Festival de musique sacrée de Lourdes,Départementale,Occitanie,Hautes-Pyrénées,Lourdes,65100,Musique,Après-saison (6 septembre - 31 décembre),"43.1074297344, -0.0768069387932"
Fête de l'accordéon,,Bourgogne-Franche-Comté,Nièvre,Luzy,58170,Musique,Saison (21 juin - 5 septembre),"46.7965929965, 3.99922728747"
Ségal'arts,,Occitanie,Lot,Prendeignes,46270,Spectacle vivant,Saison (21 juin - 5 septembre),"44.6977109541, 2.07671859473"
Riddim Collision,Régionale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69004,Musique,Après-saison (6 septembre - 31 décembre),"45.759723, 4.842223"
Symphonies d'automne,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"46.3205511756, 4.81842529639"
Musiques et vins en Madiran,Interrégionale,Occitanie,Hautes-Pyrénées,Madiran,65700,Musique,Saison (21 juin - 5 septembre),"43.5517824555, -0.057201539613"
Lez'arts de la rue,Régionale,Auvergne-Rhône-Alpes,Cantal,Marcolès,15220,Spectacle vivant,Saison (21 juin - 5 septembre),"44.7824610941, 2.35726989792"
Festiv'Autan,,Occitanie,Tarn,Maurens-Scopont,81470,Musique,saison (21 juin - 5 septembre),"43.5965308671, 1.81343450611"
L'Imprévisible Week-end,,Bretagne,Ille-et-Vilaine,Melesse,35520,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"48.2193069814, -1.68950220558"
Val d'Ille en scène,,Bretagne,Ille-et-Vilaine,Melesse,35250,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"48.2193069814, -1.68950220558"
Le cri du col,,Auvergne-Rhône-Alpes,Rhône,Monsols,69860,Musique,Saison (21 juin - 5 septembre),"46.2227835629, 4.51394181008"
Lions Metal festival,,Auvergne-Rhône-Alpes,Loire,Montagny,69700,Musique,Avant-saison (1er janvier - 20 juin),"45.6247829418, 4.75036810523"
L’Echappée musicale,,Occitanie,Tarn-et-Garonne,Montbartier,82700,Musique,Après-saison (6 septembre - 31 décembre),"43.9148777604, 1.28662456416"
Ebulli'Son,,Bourgogne-Franche-Comté,Doubs,Montfaucon,25660,Musique,Saison (21 juin - 5 septembre),"47.2418571296, 6.08660837587"
Chauffer dans la noirceur,,Normandie,Manche,Montmartin-sur-Mer,50590,Musique,Saison (21 juin - 5 septembre),"48.9910212765, -1.52994382531"
Montmeyan en poésie,,Provence-Alpes-Côte d'Azur,Var,Montmeyan,83670,"Livre, littérature",Saison (21 juin - 5 septembre),"43.6482569436, 6.06124619134"
Festival Cinémed,,Occitanie,Hérault,Montpellier,34000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"43.6134409138, 3.86851657896"
Festival Métropolisme,,Occitanie,Hérault,Montpellier,34000,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"43.6134409138, 3.86851657896"
Les Nuits d'O,,Occitanie,Hérault,Montpellier,34000,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.6134409138, 3.86851657896"
Sud de sciences,Intercommunale,Occitanie,Hérault,Montpellier,34000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"43.6134409138, 3.86851657896"
Le Courtivore - festival du court-métrage de Rouen & Mont-Saint-Aignan,Intercommunale,Normandie,Seine-Maritime,Mont-Saint-Aignan,76130,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"49.4676577166, 1.08169720921"
Festival de l'humour de Moret-sur-Loing,,Île-de-France,Seine-et-Marne,Moret-Loing-et-Orvanne,77250,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"48.365092921, 2.81172585849"
Fête du livre jeunesse de Morteau,,Bourgogne-Franche-Comté,Doubs,Morteau,25500,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"47.063408704, 6.58305657113"
Festival Universitaire du Film Underground,,Grand Est,Meurthe-et-Moselle,Nancy,54000,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"48.6901995499, 6.17588254434"
Les Art'Scènes,,Pays de la Loire,Loire-Atlantique,Nantes,44000,Musique,Après-saison (6 septembre - 31 décembre),"47.2316356767, -1.54831008605"
Festival Automne musical,Régionale,Occitanie,Gard,Nîmes,30900,Musique,Avant-saison (1er janvier - 20 juin),"43.844938394, 4.34806796996"
Panique au dancing,,Nouvelle-Aquitaine,Deux-Sèvres,Niort,79000,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"46.328260242, -0.465353019369"
Regards Noirs,,Nouvelle-Aquitaine,Deux-Sèvres,Niort,79000,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"46.328260242, -0.465353019369"
Rencontres de la Jeune Photographie internationale,,Nouvelle-Aquitaine,Deux-Sèvres,Niort,79000,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"46.328260242, -0.465353019369"
Pisteurs d'Etoiles,,Grand Est,Bas-Rhin,Obernai,67210,Spectacle vivant,Saison (21 juin - 5 septembre),"48.4593467321, 7.48006434701"
SummerLied,,Grand Est,Bas-Rhin,Ohlungen,67590,Musique,Saison (21 juin - 5 septembre),"48.8121908123, 7.69421854068"
Les fugues sonores,Régionale,Hauts-de-France,Pas-de-Calais,Oignies,62590,Musique,Après-saison (6 septembre - 31 décembre),"50.4644483399, 2.99306842451"
Festival de Saint-Paul-De-Vence,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Saint-Paul-de-Vence,6570,Musique,Saison (21 juin - 5 septembre),"43.6950190291, 7.12116951865"
Autour du Quatuor,,Occitanie,Hérault,Olargues,34390,Musique,Saison (21 juin - 5 septembre),"43.540135455, 2.91772316116"
Festibaloche,,Occitanie,Hérault,Olargues,34390,Musique,Saison (21 juin - 5 septembre),"43.540135455, 2.91772316116"
D'un Bord à l'Autre,,Centre-Val de Loire,Loiret,Orléans,45000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"47.8828634214, 1.91610357477"
Les invizibles - Festival du cinéma d'Orléans,Interrégionale,Centre-Val de Loire,Loiret,Orléans,45000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"47.8828634214, 1.91610357477"
Mosaïques,,Centre-Val de Loire,Loiret,Orléans,45100,Musique,Avant-saison (1er janvier - 20 juin),"47.8828634214, 1.91610357477"
16 Arts,,Île-de-France,Paris,Paris,75016,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"48.8567, 2.3508"
Les Festivals du Parc Floral,,Île-de-France,Paris,Paris,75012,Musique,Saison (21 juin - 5 septembre),"48.8567, 2.3508"
Syrien N'est Fait,,Île-de-France,Paris,Paris,75014,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"48.8289932116, 2.32710088326"
Zic O'loustics,,Bretagne,Côtes-d'Armor,Ploeuc-L'Hermitage,22150,Pluridisciplinaire,Saison (21 juin - 5 septembre),"48.3440952237, -2.76649702896"
La Pile d'Assiettes,,Bretagne,Finistère,Plougasnou,29630,Musique,Saison (21 juin - 5 septembre),"48.6775667227, -3.8123079305"
Visions,,Bretagne,Finistère,Plougonvelin,29190,Musique,Saison (21 juin - 5 septembre),"48.3513274854, -4.71760872698"
La preuve par 3,Intercommunale,Centre-Val de Loire,Indre-et-Loire,Pocé-sur-Cisse,37530,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"47.4435625519, 0.987369679483"
Bruits de Langues,,Nouvelle-Aquitaine,Vienne,Poitiers,86000,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"46.5839207726, 0.359947653003"
En Voie d'Expression,,Bretagne,Morbihan,Pontivy,56300,Musique,Après-saison (6 septembre - 31 décembre),"48.0729953877, -2.97046592885"
Festival du rêve de Porto-Vecchio,Départementale,Corse,Corse-du-Sud,Porto-Vecchio,20137,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"41.5924932873, 9.25363087024"
Pré en bulles,,Auvergne-Rhône-Alpes,Isère,Pressins,38480,Spectacle vivant,Saison (21 juin - 5 septembre),"45.5266905652, 5.63237187242"
La Claque Revival,,Nouvelle-Aquitaine,Dordogne,Prigonrieux,24130,Musique,Avant-saison (1er janvier - 20 juin),"44.8690011937, 0.409883661138"
"Aux Arts, Puilborains !",,Nouvelle-Aquitaine,Charente-Maritime,Puilboreau,17138,Spectacle vivant,Saison (21 juin - 5 septembre),"46.1853935247, -1.11393605159"
Biennale du livre jeunesse de Questembert,,Bretagne,Morbihan,Questembert,56230,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"47.6638017747, -2.43671076032"
Semaines Musicales,,Bretagne,Finistère,Quimper,29000,Musique,Saison (21 juin - 5 septembre),"47.9971425162, -4.09111944455"
Festival de Ramatuelle,,Provence-Alpes-Côte d'Azur,Var,Ramatuelle,83350,Spectacle vivant,Saison (21 juin - 5 septembre),"43.2186126186, 6.63754734174"
Jazz à ramatuelle,Départementale,Provence-Alpes-Côte d'Azur,Var,Ramatuelle,83350,Musique,Saison (21 juin - 5 septembre),"43.2186126186, 6.63754734174"
Soirées romantiques,,Provence-Alpes-Côte d'Azur,Var,Rayol-Canadel-sur-Mer,83820,Musique,Saison (21 juin - 5 septembre),"43.1642973413, 6.47477478292"
La Magnifique Avant-Garde,,Grand Est,Marne,Reims,51100,Musique,Avant-saison (1er janvier - 20 juin),"49.2514906066, 4.0402302322"
Dangereuses Lectrices,,Bretagne,Ille-et-Vilaine,Rennes,35000,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"48.1119791219, -1.68186449144"
Mil Goul,Intercommunale,Bretagne,Ille-et-Vilaine,Rennes,35700,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"48.1119791219, -1.68186449144"
Festival Label rue,,Occitanie,Gard,Rodilhan,30230,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"43.825503937, 4.43410669109"
PRIMO,,Île-de-France,Val-d'Oise,Roissy-en-France,95700,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"49.00660444, 2.51417743519"
KLASIK - Musiques classiques et contemporaines au coeur de la Bretagne,,Bretagne,Côtes-d'Armor,Rostrenen,22110,Musique,Saison (21 juin - 5 septembre),"48.2215427736, -3.31179704668"
Fest Hom Fred,Intercommunale,Hauts-de-France,Somme,Roye,80700,Musique,Après-saison (6 septembre - 31 décembre),"49.6936899931, 2.78868757676"
Les Cheminées du Rock,,Nouvelle-Aquitaine,Haute-Vienne,Saillat-sur-Vienne,87720,Musique,Saison (21 juin - 5 septembre),"45.8704899446, 0.834066842263"
