NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Camping,Internationale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69002,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.8005219603, 4.46362962057"
Question de danse,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13003,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889"
Blues roots festival,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Meyreuil,13590,Musique,Après-saison (6 septembre - 31 décembre),"43.4910522546, 5.50062811927"
C'est pas classique,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Nice,6300,Musique,Après-saison (6 septembre - 31 décembre),"43.7119992661, 7.23826889465"
Arrée Voce,,Bretagne,Finistère,Plounéour-Menez,29410,Musique,Saison (21 juin - 5 septembre),"48.4451584128, -3.88112677396"
Conc'Air,,Grand Est,Haut-Rhin,Saint-Louis,68300,Musique,Saison (21 juin - 5 septembre),"47.6016553367, 7.54061872745"
Tempos du Monde,,Nouvelle-Aquitaine,Landes,Saint-Paul-lès-Dax,40990,Musique,Saison (21 juin - 5 septembre),"43.7464083139, -1.08127980711"
L'été au château,Transfrontalière,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Salon-De-Provence,13300,Pluridisciplinaire,Saison (21 juin - 5 septembre),"43.6462885238, 5.06814649576"
Saulxures Festi'Lac,,Grand Est,Vosges,Saulxures-sur-Moselotte,88290,Musique,Saison (21 juin - 5 septembre),"47.9512129215, 6.77493861259"
Les mots des livres,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Briançonnet,6850,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.8649498097, 6.74501344628"
Jazz dans le bocage,Nationale,Auvergne-Rhône-Alpes,Allier,Tronget,3240,Musique,Saison (21 juin - 5 septembre),"46.418633391, 3.08862365583"
Festival de chants et de musiques de Noël,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Valdeblore,6414,Musique,Après-saison (6 septembre - 31 décembre),"44.1127596533, 7.19571891201"
Un Doua de jazz,Communale,Auvergne-Rhône-Alpes,Métropole de Lyon,Villeurbanne,69100,Musique,Après-saison (6 septembre - 31 décembre),"45.7707704179, 4.88845817426"
"Les suds, en hiver",Intercommunale,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Arles,13200,Musique,Avant-saison (1er janvier - 20 juin),"43.5468692378, 4.66215642574"
Les Musicales du Golfe,,Bretagne,Morbihan,Arradon,56610,Musique,Saison (21 juin - 5 septembre),"47.6335958588, -2.8220328139"
Festival du paon,Départementale,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Banon,4150,Spectacle vivant,Saison (21 juin - 5 septembre),"44.0269448077, 5.64964715248"
Écrans juniors,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Cannes,6400,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"43.5526202843, 7.00427592728"
Rêves de cirque,Départementale,Auvergne-Rhône-Alpes,Ain,Châtillon-sur-Chalaronne,1400,Spectacle vivant,Saison (21 juin - 5 septembre),"46.1232390685, 4.95810003714"
Festidreuz,,Bretagne,Finistère,Fouesnant,29170,Musique,Saison (21 juin - 5 septembre),"47.8783078862, -4.01834628474"
Roscella Bay Festival,,Nouvelle-Aquitaine,Charente-Maritime,La Rochelle,17000,Musique,Après-saison (6 septembre - 31 décembre),"46.1620643972, -1.17465702836"
Les articulés,,Auvergne-Rhône-Alpes,Ardèche,Le Cheylard,7160,Spectacle vivant,Saison (21 juin - 5 septembre),"44.9076391858, 4.42108479359"
Rencontres Giono,,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Manosque,4100,Pluridisciplinaire,Saison (21 juin - 5 septembre),"43.8354040831, 5.79106654173"
Festival de musique ancienne,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13233,Musique,Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
